id,sum,average,min,max
chr22:44619060-44621105(),12611,12.611,3,44
chr6:10383769-10385814(),22386,22.386,3,54
chr16:53702656-53704701(),9014,9.014,1,32
chr2:119431100-119433145(),18563,18.563,2,70
chr1:65066821-65068868(),14080,14.08,1,79
chr9:112889135-112891180(),15678,15.678,3,36
chr8:7696145-7698190(),10336,10.336,2,23
chr8:7237601-7239646(),10388,10.388,2,23
chr7:97937763-97939808(),10942,10.942,2,27
chr12:8406161-8408206(),11523,11.523,2,28
chr11:3590601-3592646(),10343,10.343,2,26
chr8_KI270813v1_alt:283009-285054(),9428,9.428,2,22
chr8:8047903-8049948(),9634,9.634,2,23
chr8:7599906-7601951(),9715,9.715,2,23
chr3_KI270780v1_alt:89552-91597(),12464,12.464,2,28
chr3:125755070-125757115(),12676,12.676,2,30
chr16:5206072-5208103(),10671,10.671,3,29
chr22:16696597-16698642(),12349,12.349,3,34
chr3:134373411-134375456(),28237,28.237,8,69
chr19:8512728-8514774(),14065,14.065,0,49
chr19:47110084-47112129(),10954,10.954,3,33
chr2:231411477-231413522(),17594,17.594,1,55
chr17:49021516-49023537(),2574,2.574,0,13
chr11:128686161-128688206(),17710,17.71,3,46
chr2:104842273-104844318(),27992,27.992,5,94
chr4:154490697-154492754(),9574,9.574,0,46
chr5:98352960-98355344(),6066,6.066,3,17
chr16:89043457-89045502(),7819,7.819,2,25
chr1:1917879-1919924(),23014,23.014,2,75
chr11:67503517-67505562(),30656,30.656,6,80
chrX:100972446-100974491(),22402,22.402,3,72
chrX:63189388-63191433(),24600,24.6,3,66
chr9:134118115-134120160(),24734,24.734,3,67
chr8:9657373-9659418(),27567,27.567,3,70
chr8:149662-151707(),22283,22.283,3,64
chr6:112508003-112510048(),14108,14.108,3,42
chr5:178517875-178519920(),32300,32.3,3,78
chr4:157636826-157638871(),36385,36.385,3,90
chr3:106111706-106113751(),22532,22.532,4,66
chr3:11487378-11489423(),31416,31.416,3,69
chr22:40501785-40503828(),18226,18.226,2,65
chr19_KI270867v1_alt:36806-38851(),36405,36.405,3,84
chr14:105111768-105113813(),30351,30.351,3,77
chr12:48332836-48334881(),22992,22.992,4,62
chr12:3095067-3097112(),21877,21.877,3,66
chr10:99839198-99841243(),31585,31.585,3,75
chr1:214869495-214871540(),29751,29.751,2,76
chr1:112898389-112900434(),21026,21.026,3,67
chrX:72679764-72681809(),31127,31.127,2,72
chr9:120493983-120496028(),32279,32.279,2,75
chr9:112512630-112514675(),33627,33.627,2,78
chr9:38240470-38242515(),32761,32.761,2,83
chr8:127314799-127316844(),31958,31.958,2,79
chr8:94589134-94591179(),23647,23.647,3,60
chr7:25016874-25018919(),25913,25.913,2,65
chr6_GL000253v2_alt:4064717-4066762(),31530,31.53,2,73
chr6_GL000252v2_alt:3890319-3892364(),33042,33.042,2,79
chr6:133663209-133665254(),33383,33.383,2,82
chr5:167857749-167859794(),31807,31.807,2,83
chr5:76169979-76172024(),32778,32.778,2,87
chr3:67442290-67444335(),20865,20.865,3,60
chr22:40535343-40537388(),26789,26.789,3,69
chr19:41643149-41645194(),34618,34.618,3,91
chr17:60549753-60551798(),25311,25.311,2,69
chr17:44178921-44180966(),32262,32.262,2,81
chr17:20982919-20984964(),24215,24.215,3,70
chr15:75479710-75481755(),32171,32.171,2,78
chr14:50072864-50074909(),27699,27.699,2,74
chr12:42226078-42228123(),32150,32.15,2,82
chr1:46239380-46241425(),31874,31.874,2,78
chr1:45802945-45804990(),30351,30.351,2,81
chr1:33050219-33052264(),31062,31.062,2,70
chr1:26816349-26818394(),28434,28.434,2,71
chr19:69787-71832(),27710,27.71,4,86
chr12_GL877875v1_alt:20233-22278(),27748,27.748,4,85
chr12:30233-32278(),28161,28.161,4,82
chr1:198695-200740(),27717,27.717,4,77
chr1:28179-30224(),28365,28.365,4,89
chr2:113583232-113585277(),27434,27.434,4,75
chr15:101960737-101962782(),27776,27.776,4,81
chr8:27286549-27288594(),10238,10.238,0,36
chr17:79325391-79327437(),5754,5.754,1,17
chr16:55322852-55324897(),18746,18.746,5,50
chrX:38802551-38804596(),8081,8.081,1,54
chr19:15330631-15332676(),23267,23.267,4,71
chr16:75515935-75517980(),23503,23.503,2,72
chr16:75463145-75465190(),24177,24.177,3,70
chr18:3247079-3249124(),16678,16.678,2,50
chr2:159285158-159287207(),12483,12.483,1,51
chr3:36379775-36381820(),13840,13.84,1,60
chr10:86710869-86712915(),24707,24.707,2,73
chr10:7527662-7529722(),5493,5.493,1,16
chr11:47312059-47314079(),7407,7.407,1,35
chr9:97695795-97697840(),15331,15.331,4,57
chr6:125388110-125390132(),24121,24.121,5,59
chr14:64894665-64896687(),23882,23.882,5,72
chr12:95840359-95842381(),24058,24.058,5,69
chr1:212298018-212300040(),23220,23.22,5,62
chr1:24832799-24834821(),23340,23.34,5,58
chr3_KI270937v1_alt:162514-164559(),11518,11.518,2,26
chr3_KI270936v1_alt:161077-163122(),11068,11.068,2,30
chr3_KI270934v1_alt:160365-162410(),11325,11.325,2,27
chr3_KI270924v1_alt:163447-165492(),11514,11.514,2,27
chr3_KI270895v1_alt:159803-161848(),11496,11.496,2,27
chr3:197657349-197659394(),11162,11.162,2,27
chr3_KI270935v1_alt:1048-3093(),11763,11.763,2,26
chr3_KI270779v1_alt:1048-3093(),11844,11.844,2,26
chr3:195630551-195632596(),11467,11.467,2,28
chr14:97976818-97978866(),4898,4.898,0,19
chr16:88522923-88524968(),20426,20.426,4,41
chr12:57474316-57476361(),17650,17.65,4,43
chr8:22439547-22441596(),14075,14.075,1,66
chr7:76233905-76235955(),12354,12.354,1,57
chr3:165142024-165144044(),4681,4.681,1,15
chr17_KI270857v1_alt:1168387-1170443(),9772,9.772,1,35
chr17:36932022-36934078(),9796,9.796,1,31
chr7:149103070-149105115(),12626,12.626,2,48
chr9:98707251-98709296(),12245,12.245,2,71
chr16:49875946-49877991(),16446,16.446,1,54
chr18:62523501-62525546(),21129,21.129,4,55
chr7:79007508-79009529(),363,0.363,0,2
chr10:84539579-84541624(),10647,10.647,1,46
chr14:37583098-37585156(),12735,12.735,0,49
chr3:16603879-16605924(),19059,19.059,2,49
chr10:101693425-101695470(),25314,25.314,5,61
chr12:114439253-114441307(),11546,11.546,1,35
chr5:164155504-164157528(),1327,1.327,0,14
chr1:10696813-10698858(),11260,11.26,2,32
chr18:59272273-59274318(),27499,27.499,5,70
chr16:8952491-8954536(),14601,14.601,2,46
chrX:120628905-120630950(),20509,20.509,5,58
chr20:63556845-63558890(),18960,18.96,5,35
chr8:11283894-11285939(),21088,21.088,3,62
chrX:102744706-102746751(),11661,11.661,2,42
chr7:149940610-149942630(),1177,1.177,0,9
chr1:36832242-36834263(),6119,6.119,1,22
chr16:22373534-22375579(),33233,33.233,6,87
chr2:33598223-33600268(),17469,17.469,3,51
chr8:79890008-79892056(),10614,10.614,1,36
chr9:95514780-95516825(),16739,16.739,1,68
chr15:91608024-91610044(),5214,5.214,2,16
chr13:100537212-100539232(),11868,11.868,5,21
chr1:217895469-217897568(),2144,2.144,0,9
chr19:18666639-18668684(),15096,15.096,3,44
chr7:67285277-67287322(),16336,16.336,5,40
chr7:44006426-44008471(),13965,13.965,5,42
chr11:64744246-64746291(),19546,19.546,3,84
chr4:134199415-134201435(),2949,2.949,0,11
chr10:119541255-119543300(),21928,21.928,2,72
chr7:138000529-138002574(),14320,14.32,3,45
chr15:67064739-67066785(),28087,28.087,4,87
chr22:28799033-28801086(),14536,14.536,1,66
chr2:130005207-130007252(),15734,15.734,2,46
chr2:131330041-131332086(),17586,17.586,2,48
chr10:132184360-132186405(),12871,12.871,0,65
chr16:81778011-81780056(),17862,17.862,0,74
chr6:41070733-41072789(),8708,8.708,2,31
chr7:66628106-66630151(),29077,29.077,4,80
chr19:19775255-19777309(),10587,10.587,0,27
chr16:88532578-88534623(),30735,30.735,2,98
chr9:75026756-75028801(),18696,18.696,1,83
chr5:138466356-138468401(),12374,12.374,0,40
chr1:112617667-112619714(),7543,7.543,3,30
chr17:50634200-50636245(),19719,19.719,2,73
chr8:66521254-66523528(),3601,3.601,1,17
chr19:2819213-2821258(),25222,25.222,5,79
chr18_GL383567v1_alt:14356-16401(),7693,7.693,2,27
chr18:50306549-50308594(),8146,8.146,2,29
chr5:37836054-37838099(),19766,19.766,4,50
chr1_KI270714v1_random:33139-35184(),12469,12.469,1,48
chr1:16707237-16709282(),14816,14.816,1,58
chr11:10292663-10294708(),14853,14.853,1,63
chr4:24582788-24584833(),13570,13.57,3,54
chr6_GL000255v2_alt:4490892-4492937(),7537,7.537,1,20
chr6_GL000254v2_alt:4732407-4734452(),7554,7.554,1,20
chr6_GL000252v2_alt:4539989-4542034(),7712,7.712,1,24
chr6_GL000251v2_alt:4707956-4710001(),7732,7.732,1,21
chr6:33296471-33298516(),7520,7.52,1,23
chr12:95789378-95791423(),29414,29.414,5,74
chr13:112897006-112899051(),11340,11.34,0,39
chr19:49460704-49462749(),14226,14.226,1,54
chr3:139676630-139678675(),20512,20.512,4,57
chr19:55384682-55386728(),21664,21.664,3,60
chr6:143677301-143679346(),21980,21.98,4,60
chr18:9135734-9137779(),33580,33.58,7,81
chr2:38076245-38078290(),27074,27.074,5,76
chr11:43679379-43681436(),18573,18.573,1,61
chr1:215291109-215293129(),9212,9.212,2,21
chr1:110962274-110964324(),12466,12.466,2,38
chr13:77212820-77214849(),7248,7.248,2,22
chr2:168245647-168247692(),23478,23.478,1,59
chr2:180335508-180337528(),12476,12.476,4,27
chr22:44668125-44670170(),18153,18.153,2,72
chr9:62896661-62898706(),20681,20.681,4,49
chr3:162704045-162706172(),1699,1.699,0,7
chr13:111920373-111922418(),9737,9.737,2,30
chr12:111598454-111600499(),34382,34.382,7,129
chr12:64403061-64405116(),13523,13.523,3,74
chr17:80476495-80478540(),25643,25.643,3,74
chr5:151079874-151081919(),23664,23.664,4,72
chr2:1568298-1570343(),17916,17.916,3,71
chr2:1568203-1570235(),25254,25.254,5,81
chr2:1567426-1569455(),26784,26.784,5,95
chr8_KI270811v1_alt:16367-18412(),13421,13.421,4,38
chr8:1297151-1299196(),13312,13.312,4,37
chr9:136726059-136728898(),11515,11.515,0,46
chr7:84938925-84940970(),13368,13.368,3,39
chr7:75737692-75739737(),15721,15.721,1,68
chr3:43285575-43287620(),39090,39.09,6,111
chr1:6207781-6209826(),29406,29.406,7,70
chrX:20265871-20267916(),37850,37.85,5,90
chr2:160491649-160493704(),12706,12.706,1,55
chr19:57734057-57736077(),6511,6.511,1,29
chr1:85639616-85641636(),2909,2.909,0,31
chrX:141948556-141950576(),5130,5.13,0,14
chrX:84720456-84722476(),4467,4.467,1,19
chr10:37566966-37568986(),4180,4.18,0,13
chr10:36376071-36378091(),3932,3.932,0,16
chr17:81051201-81053246(),10189,10.189,1,32
chr4:169008576-169010628(),12320,12.32,1,38
chr8_KI270818v1_alt:78886-80933(),7675,7.675,0,37
chr8:797227-799274(),7689,7.689,0,29
chr2:177617464-177619509(),16784,16.784,2,52
chr2:177551526-177553571(),16714,16.714,2,56
chr9:107904205-107906225(),463,0.463,0,2
chr7:119702565-119704585(),6749,6.749,2,13
chr16:84819130-84821178(),19406,19.406,0,64
chr22:48333187-48335235(),10116,10.116,2,32
chr20:418580-420625(),15177,15.177,2,34
chr19:534822-536868(),9739,9.739,3,41
chr14:76955769-76957814(),16081,16.081,1,47
chr1:11506473-11508704(),16740,16.74,4,34
chr6:7312431-7314491(),13062,13.062,1,51
chr5:44367506-44369536(),1876,1.876,0,18
chr22:50270485-50272530(),19053,19.053,3,62
chr9:105453095-105455119(),4275,4.275,0,13
chr2:84804537-84806557(),2886,2.886,0,14
chr11:32868305-32870328(),2963,2.963,0,30
chr10:100828520-100830580(),17352,17.352,1,50
chr8:52208343-52210363(),8965,8.965,0,30
chr16:49483389-49485449(),8575,8.575,0,30
chr6_KI270801v1_alt:1509-3529(),1228,1.228,0,25
chr6:127656311-127658331(),1077,1.077,0,24
chr15:75201314-75203359(),21875,21.875,4,67
chr15:78758327-78760372(),12902,12.902,3,30
chr22:35380027-35382072(),21901,21.901,4,49
chr3:147371796-147373849(),8218,8.218,1,20
chr1:174514269-174516289(),436,0.436,0,5
chr12:132955085-132957130(),29131,29.131,5,67
chr11:117700542-117702562(),5421,5.421,2,29
chr17:61411251-61413296(),21011,21.011,6,58
chr8:54716752-54718772(),4535,4.535,0,17
chr16:71563801-71565850(),9746,9.746,0,40
chr1:24745039-24747084(),24620,24.62,6,76
chr9:136121682-136123727(),10529,10.529,0,34
chr9:38134423-38136444(),13007,13.007,3,24
chr3:140822933-140824959(),9438,9.438,3,20
chr3:108185704-108187724(),9854,9.854,3,21
chr16:66118205-66120228(),6318,6.318,2,16
chr16:75224907-75226927(),10304,10.304,1,35
chr13:40945584-40947612(),10530,10.53,2,32
chr1:82686912-82688944(),6630,6.63,3,24
chr1:226399972-226401992(),20119,20.119,5,51
chr7:83256117-83258143(),7898,7.898,1,19
chr7:37853402-37855428(),7894,7.894,3,20
chr3:80049729-80051757(),11178,11.178,2,54
